"name","sex","count","year","rank","proportion"
"Mary","F",7065,1880,1,0.0776441885000879
"Anna","F",2604,1880,2,0.028617900474767
"Emma","F",2003,1880,3,0.0220129242131176
"Elizabeth","F",1939,1880,4,0.0213095656761034
"Minnie","F",1746,1880,5,0.0191885000879198
"Margaret","F",1578,1880,6,0.0173421839282574
"Ida","F",1472,1880,7,0.0161772463513276
"Alice","F",1414,1880,8,0.0155398276771584
"Bertha","F",1320,1880,9,0.0145067698259188
"Sarah","F",1288,1880,10,0.0141550905574116
"John","M",9655,1880,1,0.087383473617522
"William","M",9531,1880,2,0.0862612001086071
"James","M",5927,1880,3,0.0536428636075663
"Charles","M",5348,1880,4,0.0484025703683591
"George","M",5126,1880,5,0.046393338763689
"Frank","M",3242,1880,6,0.0293420219024346
"Joseph","M",2632,1880,7,0.0238211602859987
"Thomas","M",2534,1880,8,0.0229342021902435
"Henry","M",2444,1880,9,0.0221196488369988
"Robert","M",2415,1880,10,0.0218571816453978
"Mary","F",6919,1881,1,0.0752449621002034
"Anna","F",2698,1881,2,0.0293410764194752
"Emma","F",2034,1881,3,0.0221199960849564
"Elizabeth","F",1852,1881,4,0.0201407240655552
"Margaret","F",1658,1881,5,0.0180309505943254
"Minnie","F",1653,1881,6,0.0179765749893968
"Ida","F",1439,1881,7,0.0156492990984525
"Annie","F",1326,1881,8,0.014420410427066
"Bertha","F",1324,1881,9,0.0143986601850946
"Alice","F",1308,1881,10,0.014224658249323
"John","M",8769,1881,1,0.087043268514934
"William","M",8524,1881,2,0.0846113377604399
"James","M",5441,1881,3,0.0540087152457243
"George","M",4664,1881,4,0.0462960205671858
"Charles","M",4636,1881,5,0.0460180856238151
"Frank","M",2834,1881,6,0.0281309867683114
"Joseph","M",2456,1881,7,0.0243788650328063
"Henry","M",2339,1881,8,0.0232174940194356
"Thomas","M",2282,1881,9,0.0226516978847166
"Edward","M",2177,1881,10,0.0216094418470762
"Mary","F",8148,1882,1,0.0755507751650471
"Anna","F",3143,1882,2,0.0291428677397819
"Emma","F",2303,1882,3,0.0213541280320451
"Elizabeth","F",2186,1882,4,0.0202692678584675
"Minnie","F",2004,1882,5,0.0185817075884578
"Margaret","F",1821,1882,6,0.0168848750092723
"Ida","F",1673,1882,7,0.0155125732512425
"Alice","F",1542,1882,8,0.0142979007492026
"Bertha","F",1508,1882,9,0.0139826422372228
"Annie","F",1492,1882,10,0.0138342852904087
"John","M",9557,1882,1,0.084064880460215
"William","M",9298,1882,2,0.0817866755801066
"James","M",5892,1882,3,0.0518269619830058
"George","M",5193,1882,4,0.0456784476540647
"Charles","M",5091,1882,5,0.0447812395545626
"Frank","M",3176,1882,6,0.0279365972943018
"Joseph","M",2670,1882,7,0.0234857414281442
"Thomas","M",2610,1882,8,0.0229579719578488
